System Family,System Version,Architecture,Unit Tests,System Tests,Build Binaries,Build Packages,Installation (without systemd),Installation & Upgrade & Run (with systemd or openrc)
       Debian,            11,         x64,         X,            ,              ,              ,                              ,                                                    X
       Debian,            11,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Debian,            12,         x64,         X,            ,              ,              ,                              ,                                                    X
       Debian,            12,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Debian,            13,         x64,         X,            ,              ,              ,                              ,                                                    X
       Debian,            13,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Debian,     12.1-slim,         x64,         X,           X,             X,             X,                             X,
       Debian,     12.1-slim,       arm64,          ,            ,             X,             X,                             X,
       Ubuntu,         20.04,         x64,         X,            ,              ,              ,                              ,                                                    X
       Ubuntu,         22.04,         x64,         X,           D,             D,             D,                              ,                                                    X
       Ubuntu,         22.04,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Ubuntu,         24.04,         x64,         X,            ,              ,              ,                              ,                                                    X
       Ubuntu,         24.04,       arm64,         X,            ,              ,              ,                              ,                                                    X
       RHEL,         UBI 8.8,         x64,          ,            ,             X,             X,                             X,
       RHEL,         UBI 8.8,       arm64,          ,            ,             X,             X,                             X,
       RHEL,               8,         x64,         X,            ,              ,              ,                              ,                                                    X
       RHEL,               9,         x64,         X,            ,              ,              ,                              ,                                                    X
       RHEL,               9,       arm64,         X,            ,              ,              ,                              ,                                                    X
       RHEL,              10,         x64,         X,            ,              ,              ,                              ,                                                    X
       RHEL,              10,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Fedora,            40,         x64,         X,            ,              ,              ,                              ,                                                    X
       Fedora,            41,         x64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.19,         x64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.19,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.20,         x64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.20,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.21,         x64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.21,       arm64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.22,         x64,         X,            ,              ,              ,                              ,                                                    X
       Alpine,          3.22,       arm64,         X,            ,              ,              ,                              ,                                                    X
       MacOS,             14,       arm64,         D,           D,             D,             D,                              ,                                                    D
       FreeBSD,           14,         x64,         X,            ,             U,             U,                             U,
       OpenBSD,            ?,         x64,         U,            ,             U,              ,                             U,
